time,open,high,low,close,regime,direction,h1_direction,h1_adx,m15_adx,atr,atr_ratio,choch,fvg,zone,bos,ob,sweep,session,alert_fired,score,outcome
2025-12-09 07:15:00+00:00,4182.925,4183.445,4180.0,4181.29,1,-1,-1,25.90146354787103,25.58083552628176,2.9341749168075943,1.0993077978246983,0,1,0,0,0,0,1,1,0.0,loss
2025-12-10 20:40:00+00:00,4231.285,4234.055,4229.71,4232.55,2,1,1,10.373659801764346,20.32389992249608,9.001547131134288,1.627360718216441,0,0,0,0,0,0,3,1,-999.0,loss
2025-12-10 20:50:00+00:00,4235.62,4236.91,4229.655,4232.125,2,1,1,10.373659801764346,20.32389992249608,8.62896155694739,1.627360718216441,0,0,0,0,0,0,3,1,-999.0,loss
2025-12-10 21:00:00+00:00,4229.525,4232.335,4228.46,4230.365,2,1,1,12.839818161351175,21.651041023159625,7.968441342469942,1.5327434676482832,0,0,0,0,0,0,1,1,-999.0,loss
2025-12-11 18:55:00+00:00,4277.815,4278.01,4266.77,4268.28,1,1,1,25.66910256503332,43.66886126186056,4.995251669570592,1.0559889089587629,0,1,0,0,0,0,3,1,0.0,timeout
2025-12-11 19:10:00+00:00,4266.145,4271.44,4265.205,4271.365,1,1,1,25.66910256503332,41.96251455822358,5.496205509492191,1.0389167345940995,0,1,0,0,0,0,3,1,0.0,timeout
2025-12-11 19:20:00+00:00,4272.935,4274.645,4271.09,4273.13,1,1,1,25.66910256503332,41.96251455822358,5.28550373012338,1.0389167345940995,0,1,0,0,0,0,3,1,0.0,timeout
2025-12-11 19:30:00+00:00,4272.985,4274.52,4272.37,4273.905,1,1,1,25.66910256503332,40.69898683017869,4.825383318320732,0.9999387659618028,0,1,0,0,0,0,3,1,0.0,timeout
2025-12-11 21:20:00+00:00,4274.975,4278.405,4274.685,4277.775,1,1,1,27.75336840458639,31.572183933837028,3.473575709915275,0.8721262908484201,1,0,0,1,0,0,1,1,0.6,loss
2025-12-11 21:30:00+00:00,4279.61,4281.495,4276.955,4278.47,1,1,1,27.75336840458639,31.09025874737707,3.451016811100391,0.8748217823743833,0,0,0,1,0,1,1,1,0.7,loss
2025-12-11 21:40:00+00:00,4280.63,4282.275,4279.86,4282.2,1,1,1,27.75336840458639,30.957887844654184,3.3275349034487998,0.8645100714372321,0,0,0,1,0,0,1,1,0.5,loss
2025-12-11 21:50:00+00:00,4283.105,4283.725,4282.19,4282.2,1,1,1,27.75336840458639,30.957887844654184,3.089558156545137,0.8645100714372321,0,0,0,1,0,0,1,1,0.5,loss
2025-12-11 23:00:00+00:00,4282.93,4283.005,4282.93,4282.995,1,1,1,29.052790556411207,31.00119697873572,3.1522720839598337,0.8561472593181222,0,0,0,1,0,0,1,1,0.5,loss
2025-12-11 23:10:00+00:00,4281.71,4282.9,4281.38,4281.71,1,1,1,29.052790556411207,31.04141260324,2.9270866438224976,0.8389812897833897,0,0,0,1,0,0,1,1,0.5,loss
2025-12-11 23:20:00+00:00,4281.355,4281.375,4278.495,4278.605,1,1,1,29.052790556411207,31.04141260324,2.897054300030667,0.8389812897833897,0,0,0,1,0,0,1,1,0.5,loss
2025-12-11 23:30:00+00:00,4280.035,4281.215,4277.25,4277.315,1,1,1,29.052790556411207,30.237069985906025,2.9519753913529714,0.8375442123331817,0,1,0,1,0,0,1,1,0.5,loss
2025-12-11 23:40:00+00:00,4276.09,4276.565,4272.44,4275.785,1,1,1,29.052790556411207,28.47503052023843,3.1944838833604874,0.8664527221412305,0,0,0,1,0,0,1,1,0.5,loss
2025-12-11 23:50:00+00:00,4274.905,4277.57,4273.835,4277.515,1,1,1,29.052790556411207,28.47503052023843,3.233458042285343,0.8664527221412305,0,0,0,1,0,0,1,1,0.5,loss
2025-12-12 00:00:00+00:00,4276.32,4278.035,4273.725,4274.62,1,1,1,30.234163036490592,26.83885101640424,3.3631857609501243,0.8550324862661857,0,0,0,1,0,0,2,1,0.65,loss
2025-12-12 08:00:00+00:00,4287.28,4291.495,4287.185,4291.175,1,1,1,32.4106438949603,27.281997962981315,2.8586121509875246,0.9234322572207482,1,0,0,1,0,0,4,1,0.5,win
2025-12-12 08:10:00+00:00,4291.78,4295.705,4291.3,4293.35,1,1,1,32.4106438949603,29.77117824308961,2.963191089371907,0.9883868690843708,0,0,0,1,0,0,4,1,0.4,win
2025-12-12 08:20:00+00:00,4291.525,4293.59,4290.98,4293.535,1,1,1,32.4106438949603,29.77117824308961,3.0243076229789017,0.9883868690843708,0,0,0,1,0,0,4,1,0.4,win
2025-12-12 08:30:00+00:00,4294.49,4297.36,4294.31,4296.835,1,1,1,32.4106438949603,32.0825599317616,2.9439438177725625,0.9942300973471772,1,0,0,1,0,0,4,1,0.5,win
2025-12-12 08:40:00+00:00,4299.21,4304.325,4298.995,4303.89,1,1,1,32.4106438949603,34.93790037079863,3.185415842875338,1.0729317390150312,0,0,0,1,0,0,4,1,0.4,win
2025-12-12 08:50:00+00:00,4305.67,4309.01,4305.115,4308.435,1,1,1,32.4106438949603,34.93790037079863,3.2997463134997136,1.0729317390150312,0,0,0,1,0,0,4,1,0.4,win
2025-12-12 09:00:00+00:00,4308.19,4313.72,4306.96,4312.88,1,1,1,34.20089198010867,37.87711024056329,3.4842455458237795,1.1124194081931558,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 09:10:00+00:00,4312.295,4317.3,4310.65,4317.055,1,1,1,34.20089198010867,40.92658376120573,3.6994770267562376,1.177712717844761,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 09:20:00+00:00,4315.205,4317.21,4314.045,4317.195,1,1,1,34.20089198010867,40.92658376120573,3.742916415927529,1.177712717844761,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 09:30:00+00:00,4313.495,4313.905,4307.215,4309.185,1,1,1,34.20089198010867,43.781331871853,4.02718303210072,1.1614254593302191,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 09:40:00+00:00,4310.315,4312.245,4308.415,4311.9,1,1,1,34.20089198010867,44.70814437444688,3.999025165433753,1.164714326133909,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 09:50:00+00:00,4315.365,4319.185,4313.02,4318.77,1,1,1,34.20089198010867,44.70814437444688,4.15877680080766,1.164714326133909,1,0,0,1,0,0,4,1,0.4,win
2025-12-12 10:00:00+00:00,4318.3,4319.6,4315.675,4316.48,1,1,1,36.23824117330362,46.012466975817055,4.057924894573986,1.1953013541498774,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 10:10:00+00:00,4316.925,4320.33,4316.925,4319.265,1,1,1,36.23824117330362,47.22362367708936,3.925863812158193,1.1739987930204263,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 10:20:00+00:00,4319.305,4321.925,4318.025,4321.67,1,1,1,36.23824117330362,47.22362367708936,3.792964205381326,1.1739987930204263,1,0,0,1,0,0,4,1,0.4,win
2025-12-12 10:30:00+00:00,4316.78,4323.305,4316.415,4323.015,1,1,1,36.23824117330362,48.4651964544751,4.120438524027828,1.152774133645219,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 10:40:00+00:00,4323.94,4328.6,4323.715,4328.12,1,1,1,36.23824117330362,49.98525568170202,4.141194441636233,1.2197747680193376,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 10:50:00+00:00,4330.525,4331.175,4327.95,4329.345,1,1,1,36.23824117330362,49.98525568170202,4.034881942023081,1.2197747680193376,0,0,0,1,0,0,4,1,0.3,win
2025-12-12 11:00:00+00:00,4330.315,4334.36,4327.21,4333.48,1,1,1,38.43920015461836,51.52355707601388,4.351913511234164,1.1918727765713466,0,0,0,1,0,0,4,1,0.3,loss
2025-12-12 11:10:00+00:00,4336.39,4338.805,4335.4,4335.62,1,1,1,38.43920015461836,53.272827905269295,4.223461139788715,1.2390357424115586,0,0,0,1,0,1,4,1,0.5,loss
2025-12-12 11:20:00+00:00,4336.885,4337.815,4334.02,4335.09,1,1,1,38.43920015461836,53.272827905269295,4.171402717470858,1.2390357424115586,0,0,0,1,0,0,4,1,0.3,loss
2025-12-12 11:30:00+00:00,4334.57,4335.14,4333.47,4333.47,1,1,1,38.43920015461836,54.9189915897111,3.915036016594776,1.2233708715941716,0,0,0,1,0,0,4,1,0.3,loss
2025-12-12 11:40:00+00:00,4332.35,4337.065,4331.81,4334.68,1,1,1,38.43920015461836,55.87832948785736,3.9865361571657982,1.20256118415442,0,0,0,1,0,0,4,1,0.3,loss
2025-12-12 11:50:00+00:00,4337.175,4339.165,4336.01,4336.225,1,1,1,38.43920015461836,55.87832948785736,3.9751255640868206,1.20256118415442,0,0,0,1,0,0,4,1,0.3,loss
2025-12-12 12:00:00+00:00,4336.505,4339.46,4336.175,4338.095,1,1,1,40.6880922773546,56.87906956305231,3.874419491483001,1.1547275018213294,0,0,0,1,0,0,4,1,0.3,loss
2025-12-12 12:10:00+00:00,4335.735,4335.84,4331.93,4332.955,1,1,1,40.6880922773546,57.060162800137086,4.03817292888076,1.147370089716086,0,1,0,0,0,0,4,1,-0.2,loss
2025-12-12 13:30:00+00:00,4336.08,4346.32,4336.08,4341.8,1,1,1,42.44232525217318,53.17247795704973,4.690011746888367,1.1065275587882546,1,0,0,1,0,0,5,1,0.45,loss
2025-12-12 13:40:00+00:00,4343.38,4345.625,4339.775,4340.08,1,1,1,42.44232525217318,53.28485618481587,4.728760128694624,1.1260928608947136,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 13:50:00+00:00,4335.365,4338.28,4332.35,4337.815,1,1,1,42.44232525217318,53.28485618481587,4.945640110966234,1.1260928608947136,0,0,0,1,0,1,5,1,0.55,loss
2025-12-12 14:00:00+00:00,4341.145,4343.655,4338.64,4343.235,1,1,1,44.259689943199945,52.53749699784224,5.074914177312662,1.1297580032259502,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 14:10:00+00:00,4342.315,4344.675,4340.815,4342.33,1,1,1,44.259689943199945,52.14207795174342,4.920487224315571,1.1058580846031956,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 14:20:00+00:00,4339.955,4341.595,4338.77,4339.805,1,1,1,44.259689943199945,52.14207795174342,4.723353780149632,1.1058580846031956,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 14:30:00+00:00,4340.885,4341.68,4333.645,4334.885,1,1,1,44.259689943199945,51.86557283538627,5.099958106353502,1.0933114025087929,0,1,0,1,0,0,5,1,0.35,loss
2025-12-12 14:40:00+00:00,4342.165,4345.565,4338.635,4339.895,1,1,1,44.259689943199945,49.9917134517445,5.654836326396591,1.1535756671895971,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 14:50:00+00:00,4342.43,4351.045,4341.955,4349.295,1,1,1,44.259689943199945,49.9917134517445,6.10350683245423,1.1535756671895971,1,0,0,1,0,0,5,1,0.45,loss
2025-12-12 15:00:00+00:00,4346.865,4347.29,4340.95,4341.71,1,1,1,46.129320127480064,49.02425703122662,6.176544156554981,1.227845702895667,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 15:10:00+00:00,4346.135,4351.625,4343.33,4343.425,1,1,1,46.129320127480064,48.12590464074572,6.333066134988746,1.227906112016221,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 15:20:00+00:00,4326.635,4328.155,4307.72,4309.555,1,1,1,46.129320127480064,48.12590464074572,8.262414167413707,1.227906112016221,0,0,0,1,0,0,5,1,0.35,loss
2025-12-12 15:55:00+00:00,4300.12,4300.49,4283.55,4290.755,1,-1,-1,43.48926720135496,45.12555641273338,11.002926710936352,1.7669976911535852,1,0,0,1,0,0,5,1,0.35,timeout
2025-12-12 16:05:00+00:00,4277.42,4285.765,4273.615,4276.935,1,-1,-1,43.48926720135496,45.12555641273338,11.747600072184948,1.7669976911535852,0,1,0,1,0,0,5,1,0.25,loss
2025-12-12 16:15:00+00:00,4286.465,4289.68,4279.98,4283.425,1,-1,-1,43.48926720135496,45.1749090373021,11.643619449996269,1.7598177897067593,0,0,0,1,0,0,5,1,0.25,loss
2025-12-12 16:25:00+00:00,4283.05,4293.195,4281.735,4289.82,1,-1,-1,43.48926720135496,45.27622330337152,11.778503505353928,1.726269845522386,0,0,0,1,0,0,5,1,0.25,loss
2025-12-12 16:35:00+00:00,4279.8,4282.445,4263.83,4266.265,1,-1,-1,43.48926720135496,45.27622330337152,12.275546389820454,1.726269845522386,0,0,0,1,0,0,5,1,0.25,loss
2025-12-12 16:45:00+00:00,4274.13,4280.0,4271.64,4278.585,1,-1,-1,43.48926720135496,45.95256580530342,12.331108876936996,1.771170162554655,0,0,0,1,0,0,5,1,0.25,loss
2025-12-12 16:55:00+00:00,4273.32,4282.08,4271.935,4281.89,1,-1,-1,41.10328980365845,46.5805981285259,11.87575204184868,1.648067616601902,0,0,0,1,0,0,5,1,0.25,loss
2025-12-12 17:05:00+00:00,4277.68,4280.44,4271.265,4273.395,1,-1,-1,41.10328980365845,46.5805981285259,11.472536199349063,1.648067616601902,0,0,0,1,0,0,3,1,0.4,loss
2025-12-12 17:15:00+00:00,4273.825,4283.42,4273.28,4283.35,1,-1,-1,41.10328980365845,46.756797987463365,10.906600090255084,1.5602714131337891,0,0,0,1,0,0,3,1,0.4,loss
