time,open,high,low,close,Plot,regime,direction,h1_adx,m15_adx,choch,fvg,zone,bos,ob,sweep,session,atr,atr_ratio,h1_direction,alert_fired
2025-12-08T08:30:00Z,4209.29,4210.775,4205.82,4206.47,,3,0,10.5260802521325,16.357108307688712,0,0,1,0,0,0,4,3.4424741834143977,1.040134366465424,-1,0
2025-12-08T08:35:00Z,4206.425,4209.11,4205.09,4208.335,,3,0,10.5260802521325,16.357108307688712,0,0,0,0,0,1,4,3.4837260274561928,1.040134366465424,-1,0
2025-12-08T08:40:00Z,4208.36,4209.98,4207.965,4208.95,,3,0,10.5260802521325,16.713910043379986,0,0,0,0,0,0,4,3.3788170254949947,1.048882801735823,-1,0
2025-12-08T08:45:00Z,4209.025,4212.115,4208.81,4210.335,,3,0,10.5260802521325,16.713910043379986,0,0,0,0,0,0,4,3.3735443808167367,1.048882801735823,-1,0
2025-12-08T08:50:00Z,4210.3,4212.105,4209.535,4210.135,,3,0,10.5260802521325,16.713910043379986,0,0,0,0,0,0,4,3.3161483536155205,1.048882801735823,-1,0
2025-12-08T08:55:00Z,4210.125,4210.13,4207.14,4209.875,,3,0,10.590128537768631,16.674764312592465,0,0,0,0,0,0,4,3.2932091855001184,1.0463566451955166,-1,0
2025-12-08T09:00:00Z,4209.66,4210.825,4208.25,4208.415,,3,0,10.590128537768631,16.674764312592465,0,0,0,0,0,0,4,3.2419085293929544,1.0463566451955166,-1,0
2025-12-08T09:05:00Z,4208.46,4209.3,4204.305,4207.645,,3,0,10.590128537768631,16.674764312592465,0,0,1,0,0,1,4,3.3671293487220213,1.0463566451955166,-1,0
2025-12-08T09:10:00Z,4207.64,4210.86,4206.75,4209.075,,3,0,10.590128537768631,17.169779879215458,0,0,0,0,0,0,4,3.4201915380989965,1.062361662496537,-1,0
2025-12-08T09:15:00Z,4209.05,4210.54,4208.585,4210.06,,3,0,10.590128537768631,17.169779879215458,0,0,0,0,0,0,4,3.3155349996633485,1.062361662496537,-1,0
2025-12-08T09:20:00Z,4210.145,4210.145,4206.225,4209.595,,3,0,10.590128537768631,17.169779879215458,0,0,0,0,0,0,4,3.358711071115972,1.062361662496537,-1,0
2025-12-08T09:25:00Z,4209.615,4210.93,4209.19,4210.605,,3,0,10.590128537768631,17.608653899686722,0,0,0,0,0,0,4,3.2430888517505947,1.0506481395030984,-1,0
2025-12-08T09:30:00Z,4210.68,4211.56,4209,4209.41,,3,0,10.590128537768631,17.608653899686722,0,0,0,0,0,0,4,3.194296790911295,1.0506481395030984,-1,0
2025-12-08T09:35:00Z,4209.62,4210.27,4207.39,4208.095,,3,0,10.590128537768631,17.608653899686722,0,0,1,0,0,0,4,3.1718470201319247,1.0506481395030984,-1,0
2025-12-08T09:40:00Z,4208.185,4209.675,4205.895,4208.31,,3,0,10.590128537768631,17.8196987556537,0,0,0,0,0,0,4,3.2152865186939117,1.0516733616965255,-1,0
2025-12-08T09:45:00Z,4208.325,4208.845,4206.525,4208.35,,3,0,10.590128537768631,17.8196987556537,0,0,0,0,0,0,4,3.151337481644391,1.0516733616965255,-1,0
2025-12-08T09:50:00Z,4208.34,4213.045,4208.185,4211,,3,0,10.590128537768631,17.8196987556537,0,1,0,0,0,1,4,3.273384804384054,1.0516733616965255,-1,0
2025-12-08T09:55:00Z,4210.95,4210.95,4207.29,4207.855,,3,0,10.64960194585932,17.55416759714129,0,0,1,0,0,0,4,3.3045716040709103,1.0625274917739032,-1,0
2025-12-08T10:00:00Z,4207.85,4210.25,4207.645,4209.425,,3,0,10.64960194585932,17.55416759714129,0,0,0,0,0,0,4,3.2546022037800997,1.0625274917739032,-1,0
2025-12-08T10:05:00Z,4209.36,4210.385,4208.835,4209.97,,3,0,10.64960194585932,17.55416759714129,0,0,0,0,0,0,4,3.1328449035101054,1.0625274917739032,-1,0
2025-12-08T10:10:00Z,4210.06,4210.16,4208.765,4209.38,,3,0,10.64960194585932,17.307602949951196,0,0,0,0,0,0,4,3.0087131246879215,1.0201789517972366,-1,0
2025-12-08T10:15:00Z,4209.475,4209.77,4208.19,4208.23,,3,0,10.64960194585932,17.307602949951196,0,0,0,0,0,0,4,2.9066621872102725,1.0201789517972366,-1,0
2025-12-08T10:20:00Z,4208.18,4209.155,4206.8,4208.46,,3,0,10.64960194585932,17.307602949951196,0,0,0,0,0,0,4,2.86725774526665,1.0201789517972366,-1,0
2025-12-08T10:25:00Z,4208.51,4210.165,4205.38,4205.865,,3,0,10.64960194585932,17.609922118595236,0,0,0,0,0,0,4,3.00423933489045,1.0088732809083325,-1,0
2025-12-08T10:30:00Z,4205.8,4207.03,4201.105,4206.92,,3,0,10.64960194585932,17.609922118595236,0,0,0,0,0,1,4,3.2128650966840024,1.0088732809083325,-1,0
2025-12-08T10:35:00Z,4206.93,4208.175,4205.385,4207.26,,3,0,10.64960194585932,17.609922118595236,0,0,0,0,0,0,4,3.1826604469208566,1.0088732809083325,-1,0
2025-12-08T10:40:00Z,4207.36,4208.36,4206.2,4206.395,,3,0,10.64960194585932,18.72938821103122,0,0,0,0,0,0,4,3.109613272140785,1.0335780501195466,-1,0
2025-12-08T10:45:00Z,4206.295,4206.705,4203.645,4205.005,,3,0,10.64960194585932,18.72938821103122,0,0,0,0,0,0,4,3.1060694669878357,1.0335780501195466,-1,0
2025-12-08T10:50:00Z,4204.84,4205.715,4203.92,4205,,3,0,10.64960194585932,18.72938821103122,0,0,0,0,0,0,4,3.0124216479172814,1.0335780501195466,-1,0
2025-12-08T10:55:00Z,4204.945,4206.705,4202.865,4203.685,,3,0,11.06465745691712,19.768892439721775,0,0,0,0,0,0,4,3.0715343873517718,1.0106542535289227,-1,0
2025-12-08T11:00:00Z,4203.51,4204.295,4200.985,4201.335,,3,0,11.06465745691712,19.768892439721775,0,0,0,0,0,0,4,3.088567645398103,1.0106542535289227,-1,0
2025-12-08T11:05:00Z,4201.225,4202.9,4199.71,4202.51,,3,0,11.06465745691712,19.768892439721775,0,0,0,0,0,1,4,3.095812813583924,1.0106542535289227,-1,0
2025-12-08T11:10:00Z,4202.515,4204.645,4201.925,4203.445,,3,0,11.06465745691712,21.27528198234656,0,0,0,0,0,0,4,3.0689690411850905,1.0053690384157166,-1,0
