datetime,open,high,low,close,volume
2025-12-16 05:00:00+0000,4315.39990234375,4316.7001953125,4315.0,4315.5,0
2025-12-16 05:05:00+0000,4315.39990234375,4318.89990234375,4315.0,4318.10009765625,206
2025-12-16 05:10:00+0000,4318.10009765625,4318.10009765625,4312.2998046875,4312.5,213
2025-12-16 05:15:00+0000,4312.7001953125,4312.89990234375,4310.2998046875,4310.2998046875,349
2025-12-16 05:20:00+0000,4310.2001953125,4311.5,4308.7001953125,4311.2001953125,388
2025-12-16 05:25:00+0000,4311.0,4311.5,4305.7001953125,4307.0,729
2025-12-16 05:30:00+0000,4306.7998046875,4307.39990234375,4297.39990234375,4301.2998046875,2397
2025-12-16 05:35:00+0000,4301.2001953125,4303.7998046875,4299.0,4303.39990234375,666
2025-12-16 05:40:00+0000,4303.39990234375,4306.2998046875,4301.7001953125,4305.7001953125,664
2025-12-16 05:45:00+0000,4305.7998046875,4310.7001953125,4305.60009765625,4310.0,828
2025-12-16 05:50:00+0000,4310.10009765625,4312.5,4308.7001953125,4311.7001953125,401
2025-12-16 05:55:00+0000,4312.0,4314.0,4309.7998046875,4309.89990234375,416
2025-12-16 06:00:00+0000,4310.2998046875,4311.60009765625,4308.7001953125,4310.7001953125,245
2025-12-16 06:05:00+0000,4310.5,4314.5,4309.39990234375,4312.89990234375,295
2025-12-16 06:10:00+0000,4312.7001953125,4313.2001953125,4311.2998046875,4312.89990234375,268
2025-12-16 06:15:00+0000,4312.39990234375,4313.7998046875,4310.89990234375,4313.7001953125,183
2025-12-16 06:20:00+0000,4313.39990234375,4316.0,4313.0,4314.7001953125,256
2025-12-16 06:25:00+0000,4314.89990234375,4315.0,4312.0,4313.10009765625,227
2025-12-16 06:30:00+0000,4312.7998046875,4316.89990234375,4311.89990234375,4316.7001953125,275
2025-12-16 06:35:00+0000,4316.60009765625,4318.0,4315.39990234375,4317.7998046875,286
2025-12-16 06:40:00+0000,4317.89990234375,4318.39990234375,4316.0,4317.2998046875,194
2025-12-16 06:45:00+0000,4317.7001953125,4318.2998046875,4316.60009765625,4316.7998046875,124
2025-12-16 06:50:00+0000,4317.0,4317.2998046875,4313.7001953125,4315.2998046875,601
2025-12-16 06:55:00+0000,4315.89990234375,4316.7001953125,4315.2001953125,4315.5,172
2025-12-16 07:00:00+0000,4315.60009765625,4315.89990234375,4310.89990234375,4315.0,625
2025-12-16 07:05:00+0000,4314.7998046875,4315.10009765625,4310.60009765625,4312.0,313
2025-12-16 07:10:00+0000,4312.0,4312.89990234375,4310.7001953125,4311.60009765625,187
2025-12-16 07:15:00+0000,4312.0,4312.2001953125,4309.0,4310.39990234375,282
2025-12-16 07:20:00+0000,4310.5,4311.89990234375,4305.7001953125,4308.10009765625,699
2025-12-16 07:25:00+0000,4308.0,4308.0,4304.89990234375,4306.7998046875,347
2025-12-16 07:30:00+0000,4306.2998046875,4312.7998046875,4305.5,4312.10009765625,658
2025-12-16 07:35:00+0000,4312.2001953125,4313.39990234375,4310.7001953125,4310.7001953125,283
2025-12-16 07:40:00+0000,4310.89990234375,4314.2998046875,4309.39990234375,4309.89990234375,419
2025-12-16 07:45:00+0000,4309.7998046875,4311.2001953125,4308.7998046875,4310.7001953125,287
2025-12-16 07:50:00+0000,4310.7001953125,4313.2998046875,4310.10009765625,4312.7998046875,211
2025-12-16 07:55:00+0000,4312.89990234375,4314.2001953125,4311.2001953125,4313.39990234375,486
2025-12-16 08:00:00+0000,4313.2998046875,4315.10009765625,4311.39990234375,4312.89990234375,463
2025-12-16 08:05:00+0000,4312.7998046875,4312.89990234375,4306.60009765625,4309.10009765625,569
2025-12-16 08:10:00+0000,4309.39990234375,4309.39990234375,4306.10009765625,4307.39990234375,421
2025-12-16 08:15:00+0000,4307.39990234375,4307.7001953125,4303.0,4303.5,629
2025-12-16 08:20:00+0000,4303.39990234375,4305.10009765625,4301.2998046875,4304.89990234375,458
2025-12-16 08:25:00+0000,4305.0,4306.60009765625,4303.7001953125,4304.60009765625,574
2025-12-16 08:30:00+0000,4304.2998046875,4307.89990234375,4301.0,4307.7001953125,915
2025-12-16 08:35:00+0000,4307.7998046875,4308.2001953125,4303.39990234375,4303.5,363
2025-12-16 08:40:00+0000,4303.5,4309.2001953125,4303.2998046875,4309.0,736
2025-12-16 08:45:00+0000,4308.89990234375,4312.2998046875,4308.60009765625,4311.7998046875,785
2025-12-16 08:50:00+0000,4311.7001953125,4313.2001953125,4310.7998046875,4311.0,703
2025-12-16 08:55:00+0000,4310.89990234375,4312.89990234375,4310.2998046875,4311.7998046875,829
2025-12-16 09:00:00+0000,4311.5,4312.60009765625,4307.7001953125,4308.5,433
2025-12-16 09:05:00+0000,4308.89990234375,4310.5,4307.89990234375,4310.10009765625,241
2025-12-16 09:10:00+0000,4310.0,4311.89990234375,4309.0,4311.60009765625,252
2025-12-16 09:15:00+0000,4311.39990234375,4311.7001953125,4309.89990234375,4310.2001953125,311
2025-12-16 09:20:00+0000,4310.2001953125,4311.10009765625,4309.89990234375,4310.10009765625,175
2025-12-16 09:25:00+0000,4309.89990234375,4310.10009765625,4308.0,4308.0,292
2025-12-16 09:30:00+0000,4308.2001953125,4310.2001953125,4307.39990234375,4307.7998046875,223
2025-12-16 09:35:00+0000,4307.5,4309.0,4306.5,4308.7998046875,284
2025-12-16 09:40:00+0000,4308.7998046875,4310.39990234375,4307.60009765625,4309.39990234375,398
2025-12-16 09:45:00+0000,4309.2001953125,4309.2001953125,4305.60009765625,4307.5,620
2025-12-16 09:50:00+0000,4307.10009765625,4307.2998046875,4303.10009765625,4304.39990234375,555
2025-12-16 09:55:00+0000,4304.39990234375,4306.89990234375,4303.5,4306.7998046875,331
2025-12-16 10:00:00+0000,4307.2001953125,4310.5,4306.2998046875,4310.10009765625,887
