alert_time,regime,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2025-12-31 04:35:00+00:00,TREND,sell,4357.1998046875,4368.6554059709815,4331.742912946428,20.3102,4.2428,0.25,approve,trailing_sl,4346.291573660715,110.77,155.11,265.88,10.91,7,True,True
2026-01-02 05:15:00+00:00,TREND,buy,4390.99990234375,4372.138417271206,4432.914313616072,12.6174,6.9857,0.25,approve,sl_hit,4392.047762625559,13.22,0.0,13.22,1.05,97,True,False
2026-01-02 13:30:00+00:00,TREND,sell,4384.50009765625,4400.931469726562,4347.9859375,14.4996,6.0857,0.45,approve,trailing_sl,4369.202734375,110.9,158.83,269.73,15.3,13,True,True
2026-01-04 23:10:00+00:00,BREAKOUT,buy,4379.3998046875,4361.40627092634,4419.385435267857,13.5406,6.6643,0.25,approve,tp_hit,4419.385435267857,541.43,0.0,541.43,39.99,22,False,False
2026-01-05 03:10:00+00:00,TREND,buy,4420.3001953125,4404.254443359376,4455.957421875,15.8591,5.9429,0.25,approve,trailing_sl,4436.8685546875,131.38,169.65,301.03,16.57,72,True,True
2026-01-05 11:35:00+00:00,TREND,sell,4432.29990234375,4446.282045200893,4401.228473772321,18.6303,5.1786,0.4,approve,trailing_sl,4419.814383370535,116.3,173.66,289.97,12.49,21,True,True
2026-01-06 04:35:00+00:00,TREND,buy,4477.3998046875,4469.3998046875,4491.413546316965,33.2864,2.3356,0.25,approve,sl_hit,4477.750148228237,11.66,0.0,11.66,0.35,12,True,False
2026-01-06 17:00:00+00:00,TREND,buy,4499.49990234375,4488.950484793527,4522.943052455357,25.2644,3.9072,0.35,approve,sl_hit,4488.950484793527,-266.52,0.0,-266.52,-10.55,26,False,False
2026-01-07 01:05:00+00:00,TREND,sell,4485.50009765625,4500.485041155133,4452.200223214285,17.4304,5.55,0.25,approve,sl_hit,4484.6676007952,14.51,0.0,14.51,0.83,13,True,False
2026-01-08 01:05:00+00:00,TREND,sell,4467.6998046875,4480.524710518973,4439.200013950893,20.3888,4.75,0.25,approve,trailing_sl,4455.900153459821,120.29,174.32,294.61,11.8,10,True,True
