alert_time,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2025-12-16 14:00:00+00:00,buy,4345.6,4333.485672433036,4363.771491350447,16.5094,6.0572,0.45,approve,tp_hit,4363.771491350447,150.0,125.0,275.0,18.17,10,True,True
2025-12-17 01:45:00+00:00,buy,4351.8998046875,4343.8998046875,4362.656989397322,25.6875,3.5857,0.25,approve,sl_hit,4343.8998046875,-205.5,0.0,-205.5,-8.0,10,False,False
2025-12-17 13:45:00+00:00,buy,4366.20009765625,4356.457212611607,4380.814425223215,20.6705,4.8714,0.45,approve,sl_hit,4366.930814034598,15.1,0.0,15.1,0.73,5,True,False
2025-12-18 13:20:00+00:00,sell,4351.1001953125,4359.1001953125,4340.407149832589,25.2115,3.5643,0.45,approve,sl_hit,4359.1001953125,-201.69,0.0,-201.69,-8.0,2,False,False
2025-12-18 18:50:00+00:00,sell,4358.50009765625,4370.0572265625,4341.164404296875,17.1027,5.7786,0.35,approve,sl_hit,4370.0572265625,-197.66,0.0,-197.66,-11.56,22,False,False
2025-12-22 05:50:00+00:00,buy,4435.49990234375,4426.457073102679,4449.064146205357,21.4208,4.5214,0.25,approve,tp_hit,4449.064146205357,145.28,121.07,266.34,13.56,13,True,True
2025-12-22 13:40:00+00:00,buy,4459.20009765625,4449.428683035715,4473.857219587054,20.3688,4.8857,0.45,approve,sl_hit,4449.428683035715,-199.03,0.0,-199.03,-9.77,18,False,False
2025-12-23 01:35:00+00:00,buy,4518.3998046875,4506.857114955357,4535.713839285715,16.8983,5.7713,0.25,approve,sl_hit,4519.265506417411,14.63,0.0,14.63,0.87,19,True,False
2025-12-23 13:40:00+00:00,sell,4520.00009765625,4529.5286969866065,4505.707198660714,20.5008,4.7643,0.45,approve,trailing_sl,4513.228794642857,69.41,122.09,191.5,6.77,2,True,True
2025-12-24 03:40:00+00:00,sell,4522.6001953125,4538.3714704241065,4498.943282645089,12.6289,7.8856,0.25,approve,trailing_sl,4515.071079799107,47.54,124.48,172.03,7.53,17,True,True
2025-12-24 14:30:00+00:00,sell,4516.6998046875,4524.6998046875,4505.299867466518,25.3268,3.8,0.45,approve,trailing_sl,4506.899762834822,124.1,120.3,244.4,9.8,1,True,True
2025-12-26 06:20:00+00:00,buy,4547.1,4539.1,4557.750041852679,25.9378,3.55,0.25,approve,sl_hit,4539.1,-207.5,0.0,-207.5,-8.0,7,False,False
