alert_time,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-02-26 17:25:00+00:00,sell,5178.91,5191.9812890625,5159.30306640625,15.3007,6.5356,0.4,approve,sl_hit,5191.9812890625,-200.0,0.0,-200.0,-13.07,1,False,False
2026-02-27 13:35:00+00:00,sell,5224.763,5242.5628046875,5198.06329296875,11.0114,8.8999,0.4,approve,sl_hit,5242.5628046875,-196.0,0.0,-196.0,-17.8,4,False,False
2026-02-27 13:50:00+00:00,sell,5212.2,5232.3426478794645,5181.986028180803,9.536,10.0713,0.45,approve,sl_hit,5232.3426478794645,-192.08,0.0,-192.08,-20.14,1,False,False
2026-02-27 14:20:00+00:00,buy,5228.620000000001,5207.905993303572,5259.691010044644,9.0875,10.357,0.3,approve,trailing_sl,5235.864397321428,32.92,94.12,127.04,7.24,2,True,True
